domain,axis,tag,contribution,notes
*,metadata,resolution:acknowledge,,narrative-resolution stratifier
*,metadata,stated-revealed-aligned,,outcome descriptor
*,metadata,in-group-protection,,framing descriptor
*,metadata,counterparty:peer-tribal,,counterparty stratifier
*,metadata,credit:take,,credit-allocation resolution (user retained credit)
*,metadata,credit:keep,,credit-allocation resolution (user did not redirect)
*,metadata,credit:share-active,,credit-allocation resolution (user explicitly brought up another)
*,metadata,credit:share-passive,,credit-allocation resolution (user named in framing)
*,metadata,credit:silent,,credit-allocation resolution (user did not name)
*,metadata,credit:redirect,,credit-allocation resolution (user re-allocated credit after)
*,metadata,credit:propagated,,credit-allocation resolution (credit moved via institutional channels)
*,metadata,credit:contained,,credit-allocation resolution (acknowledgment without institutional action)
*,metadata,credit:acknowledge-only,,credit-allocation resolution (acknowledged without redirecting)
*,metadata,resolution:credit-realigned,,narrative-resolution stratifier
*,metadata,resolution:quiet-burn,,narrative-resolution stratifier
*,metadata,stated-revealed-aligned-late,,outcome descriptor (late alignment)
*,metadata,counterparty:chosen-family,,counterparty stratifier (non-blood family-of-choice)
*,metadata,counterparty:close-IRL,,counterparty stratifier (close in-person relationships)
*,metadata,counterparty:close-online,,counterparty stratifier (close online-only relationships)
*,metadata,counterparty:community,,counterparty stratifier (community-scale, not individual)
*,metadata,counterparty:family-of-origin,,counterparty stratifier (blood family)
*,metadata,counterparty:in-group-community,,counterparty stratifier (existing community)
*,metadata,counterparty:in-group-peer,,counterparty stratifier (peer in user's in-group)
*,metadata,counterparty:in-group-tradition,,counterparty stratifier (in-group cultural/religious tradition)
*,metadata,counterparty:out-group-new,,counterparty stratifier (newcomer outside user's existing in-group)
*,metadata,counterparty:peer-in-team,,counterparty stratifier (workplace teammate)
*,metadata,counterparty:peer-known-past,,counterparty stratifier (former colleague with known reputation)
*,metadata,counterparty:peer-out-team,,counterparty stratifier (workplace peer in different team)
*,metadata,counterparty:stranger-foreign,,counterparty stratifier (stranger in different cultural context)
*,metadata,counterparty:stranger-known,,counterparty stratifier (recurring stranger encounter)
*,metadata,observed:yes,,observer-effect stratifier (visible-giving variant)
*,metadata,resolution:hospitality-private,,narrative-resolution stratifier
*,metadata,resolution:hospitality-quiet,,narrative-resolution stratifier
*,metadata,stake:medium-emotional,,stake stratifier (interpersonal emotional load)
*,metadata,stake:medium-reputation,,stake stratifier (reputation/professional-standing stake)
*,metadata,vigilance:self-protection,,vigilance subtype (workplace self-protective omission; not separately scored — lie:omission on the same choice captures the honesty-axis contribution)
*,metadata,value:loyalty,,cross-domain value-reference (home: in-group-out-group; appears in other domains as descriptive metadata)
*,metadata,value:tact-cross,,cross-domain value-reference for tact when outside truth-telling (workaround until cross-domain scoring is specified; for now treat cross-domain value:tact as metadata)


